om_id,plant_id,stp_name,division,om_entry_raw,om_full_text_raw,om_disclosure_status,anomaly_remarks_raw
stp_20_om_01,stp_20,Mehrauli STP,EE(SDW)-XI,FY21: 49.92 L,FY21: 49.92 L | FY22: 29.99 L | FY23: 131.19 L | FY24: 79.95 L | FY25: 58.70 L,Full disclosure,"Near-full utilisation. O&M varies significantly (131.19 L in FY23 vs 29.99 L in FY22 — 4x spike, unexplained). No CPCB/NGT penalty."
stp_20_om_02,stp_20,Mehrauli STP,EE(SDW)-XI,FY22: 29.99 L,FY21: 49.92 L | FY22: 29.99 L | FY23: 131.19 L | FY24: 79.95 L | FY25: 58.70 L,Full disclosure,"Near-full utilisation. O&M varies significantly (131.19 L in FY23 vs 29.99 L in FY22 — 4x spike, unexplained). No CPCB/NGT penalty."
stp_20_om_03,stp_20,Mehrauli STP,EE(SDW)-XI,FY23: 131.19 L,FY21: 49.92 L | FY22: 29.99 L | FY23: 131.19 L | FY24: 79.95 L | FY25: 58.70 L,Full disclosure,"Near-full utilisation. O&M varies significantly (131.19 L in FY23 vs 29.99 L in FY22 — 4x spike, unexplained). No CPCB/NGT penalty."
stp_20_om_04,stp_20,Mehrauli STP,EE(SDW)-XI,FY24: 79.95 L,FY21: 49.92 L | FY22: 29.99 L | FY23: 131.19 L | FY24: 79.95 L | FY25: 58.70 L,Full disclosure,"Near-full utilisation. O&M varies significantly (131.19 L in FY23 vs 29.99 L in FY22 — 4x spike, unexplained). No CPCB/NGT penalty."
stp_20_om_05,stp_20,Mehrauli STP,EE(SDW)-XI,FY25: 58.70 L,FY21: 49.92 L | FY22: 29.99 L | FY23: 131.19 L | FY24: 79.95 L | FY25: 58.70 L,Full disclosure,"Near-full utilisation. O&M varies significantly (131.19 L in FY23 vs 29.99 L in FY22 — 4x spike, unexplained). No CPCB/NGT penalty."
stp_21_om_01,stp_21,Keshopur STP Ph-I,EE(SDW)-VI,Withheld — accounts section,Withheld — accounts section,Data withheld,OVERLOADED. 12.80 MGD treated vs 12 MGD design. No new STPs commissioned in last 5 yrs. No CPCB/NGT penalty data provided.
stp_22_om_01,stp_22,Keshopur STP Ph-II,EE(SDW)-VI,Withheld — accounts section,Withheld — accounts section,Data withheld,5.88 MGD idle. Moderately underutilised.
stp_23_om_01,stp_23,Keshopur STP Ph-III,EE(SDW)-VI,Withheld — accounts section,Withheld — accounts section,Data withheld,"Capacity upgraded from 40 to 60 MGD before 20.02.2025. Despite upgrade, only 53.6% utilised. 27.83 MGD idle — severe underuse post-upgrade."
stp_24_om_01,stp_24,Najafgarh STP,EE(SDW)-VI,Withheld — accounts section,Withheld — accounts section,Data withheld,0.87 MGD spare. Reasonably utilised.
stp_25_om_01,stp_25,Nilothi STP-II,EE(SDW)-VI,Withheld — accounts section,Withheld — accounts section,Data withheld,OVERLOADED. 0.50 MGD above design capacity. Sewage inflow exceeds treatment capacity.
stp_26_om_01,stp_26,Rohini STP,EE(SDW)-XII,FY22: 264.42 L,FY22: 264.42 L | FY23: 904.25 L | FY24: 7035.00 L | FY25: 1385.87 L | FY26: 4168.61 L | Total alloc FY21-26: Rs 21992.25 L; Expended: Rs 13758.15 L,Full disclosure,100% utilised. Upgraded by 10 MGD. CRITICAL: O&M FY24 = Rs 7035 L (Rs 70.35 Cr) — 5x the next highest year. Massive unexplained spike. Total budget utilisation only 62.5% (13758/21992).
stp_26_om_02,stp_26,Rohini STP,EE(SDW)-XII,FY23: 904.25 L,FY22: 264.42 L | FY23: 904.25 L | FY24: 7035.00 L | FY25: 1385.87 L | FY26: 4168.61 L | Total alloc FY21-26: Rs 21992.25 L; Expended: Rs 13758.15 L,Full disclosure,100% utilised. Upgraded by 10 MGD. CRITICAL: O&M FY24 = Rs 7035 L (Rs 70.35 Cr) — 5x the next highest year. Massive unexplained spike. Total budget utilisation only 62.5% (13758/21992).
stp_26_om_03,stp_26,Rohini STP,EE(SDW)-XII,FY24: 7035.00 L,FY22: 264.42 L | FY23: 904.25 L | FY24: 7035.00 L | FY25: 1385.87 L | FY26: 4168.61 L | Total alloc FY21-26: Rs 21992.25 L; Expended: Rs 13758.15 L,Full disclosure,100% utilised. Upgraded by 10 MGD. CRITICAL: O&M FY24 = Rs 7035 L (Rs 70.35 Cr) — 5x the next highest year. Massive unexplained spike. Total budget utilisation only 62.5% (13758/21992).
stp_26_om_04,stp_26,Rohini STP,EE(SDW)-XII,FY25: 1385.87 L,FY22: 264.42 L | FY23: 904.25 L | FY24: 7035.00 L | FY25: 1385.87 L | FY26: 4168.61 L | Total alloc FY21-26: Rs 21992.25 L; Expended: Rs 13758.15 L,Full disclosure,100% utilised. Upgraded by 10 MGD. CRITICAL: O&M FY24 = Rs 7035 L (Rs 70.35 Cr) — 5x the next highest year. Massive unexplained spike. Total budget utilisation only 62.5% (13758/21992).
stp_26_om_05,stp_26,Rohini STP,EE(SDW)-XII,FY26: 4168.61 L,FY22: 264.42 L | FY23: 904.25 L | FY24: 7035.00 L | FY25: 1385.87 L | FY26: 4168.61 L | Total alloc FY21-26: Rs 21992.25 L; Expended: Rs 13758.15 L,Full disclosure,100% utilised. Upgraded by 10 MGD. CRITICAL: O&M FY24 = Rs 7035 L (Rs 70.35 Cr) — 5x the next highest year. Massive unexplained spike. Total budget utilisation only 62.5% (13758/21992).
stp_26_om_06,stp_26,Rohini STP,EE(SDW)-XII,Total alloc FY21-26: Rs 21992.25 L; Expended: Rs 13758.15 L,FY22: 264.42 L | FY23: 904.25 L | FY24: 7035.00 L | FY25: 1385.87 L | FY26: 4168.61 L | Total alloc FY21-26: Rs 21992.25 L; Expended: Rs 13758.15 L,Full disclosure,100% utilised. Upgraded by 10 MGD. CRITICAL: O&M FY24 = Rs 7035 L (Rs 70.35 Cr) — 5x the next highest year. Massive unexplained spike. Total budget utilisation only 62.5% (13758/21992).
stp_27_om_01,stp_27,Rithala STP (EE-XII claim),EE(SDW)-XII,Same as above (combined O&M for both STPs),Same as above (combined O&M for both STPs),Partial disclosure,NOTE: EE-XII claims 100% utilisation. EE-IX reports same plant at 40.69 MGD (101.7%). Dual-zone conflict — see EE-IX row below.
stp_28_om_01,stp_28,Rithala Ph-I (EE-IX claim),EE(SDW)-IX,NIL for last 5 years (plant under rehabilitation),NIL for last 5 years (plant under rehabilitation),Full disclosure,OVERLOADED. 40.69 MGD vs 40 MGD design. O&M NIL — plant under rehabilitation. DUAL-ZONE CONFLICT with EE-XII which also claims jurisdiction over Rithala STP at 40 MGD/100%.
stp_29_om_01,stp_29,Coronation Pillar NSTP 70 MGD,EE(SDW)-VII,Not disclosed,Not disclosed,Data withheld,Utilisation 60-75 MGD range reported. Midpoint 67.5 MGD used. Near-full capacity.
stp_30_om_01,stp_30,Coronation Pillar NSTP 20 MGD,EE(SDW)-VII,Not disclosed,Not disclosed,Data withheld,OVERLOADED. Utilisation 20-25 MGD range vs 20 MGD design. Midpoint 22.5 used.
stp_31_om_01,stp_31,Coronation Pillar NSTP 10 MGD,EE(SDW)-VII,Not disclosed,Not disclosed,Data withheld,Utilisation 8-10 MGD range. Midpoint 9 used. Near-full.
stp_32_om_01,stp_32,Coronation Pillar NSTP 15 MGD,EE(SDW)-VII,Not disclosed,Not disclosed,Data withheld,Utilisation 12-15 MGD range. Midpoint 13.5 used. Near-full.
